epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,10080.8,1.07744,0.47951,0.90935,0.88309,0.82512,0.86928,0.49996,1.4753,0.61996,1.11455,0.0009704,0.0009704,0.0009704
80,10122.8,1.09186,0.48776,0.90972,0.88585,0.82417,0.87101,0.50273,1.47757,0.61416,1.11572,0.0009572,0.0009572,0.0009572
81,10238.8,1.08315,0.48206,0.91049,0.88674,0.82509,0.87139,0.50621,1.4538,0.60957,1.10691,0.000944,0.000944,0.000944
82,10590.9,1.08062,0.48007,0.90986,0.88476,0.81809,0.86161,0.49861,1.46854,0.61953,1.11552,0.0009308,0.0009308,0.0009308
83,10711.8,1.07022,0.47762,0.90457,0.88482,0.82664,0.86889,0.50287,1.46814,0.61562,1.11322,0.0009176,0.0009176,0.0009176
84,11292.1,1.07175,0.47579,0.90868,0.88048,0.82997,0.87028,0.50097,1.4801,0.61272,1.11842,0.0009044,0.0009044,0.0009044
85,11340.2,1.07122,0.47529,0.905,0.88324,0.83196,0.87207,0.50373,1.47691,0.61357,1.1174,0.0008912,0.0008912,0.0008912
86,11475.1,1.06457,0.47451,0.90337,0.88567,0.82469,0.87038,0.5028,1.47103,0.62438,1.10863,0.000878,0.000878,0.000878
87,11519.7,1.0597,0.47,0.90104,0.8822,0.82347,0.86824,0.49948,1.48001,0.62134,1.11615,0.0008648,0.0008648,0.0008648
88,11674.5,1.05387,0.46617,0.9016,0.88331,0.82229,0.86069,0.4975,1.47411,0.61733,1.11872,0.0008516,0.0008516,0.0008516
89,11783.7,1.0505,0.46822,0.9002,0.8846,0.82555,0.86973,0.50261,1.47674,0.61539,1.12024,0.0008384,0.0008384,0.0008384
90,11858.3,1.04982,0.46546,0.89946,0.88057,0.82911,0.87105,0.50342,1.47461,0.61916,1.11658,0.0008252,0.0008252,0.0008252
91,12061.3,1.04469,0.46512,0.90214,0.8813,0.82983,0.87167,0.50349,1.47709,0.6107,1.11951,0.000812,0.000812,0.000812
92,12135.9,1.03684,0.46087,0.89959,0.88074,0.82683,0.87052,0.5022,1.4756,0.61834,1.11794,0.0007988,0.0007988,0.0007988
93,12207.5,1.04268,0.46436,0.89622,0.88509,0.82298,0.86278,0.50048,1.47324,0.61918,1.11865,0.0007856,0.0007856,0.0007856
94,12412.4,1.03581,0.46148,0.89699,0.87618,0.82779,0.864,0.49961,1.48349,0.61412,1.12512,0.0007724,0.0007724,0.0007724
95,12493.3,1.04211,0.46285,0.89645,0.88118,0.82618,0.86936,0.50064,1.48141,0.61585,1.12143,0.0007592,0.0007592,0.0007592
96,12741.9,1.03736,0.46113,0.89769,0.88522,0.82262,0.87041,0.49946,1.47606,0.62128,1.11731,0.000746,0.000746,0.000746
